compartment,gas_holdup,kLa,epsilon,volume,top_gas_flux,tau,high_tau_fraction,is_top
h0r0,1.273786e-06,0.004712321,0.003495892,0.06223219,5.70201e-05,0.04550692,0.0,False
h0r1,8.797759e-16,2.120684e-12,0.003236381,0.08811173,1.58408e-12,0.04749048,0.0,False
h0r2,2.457262e-17,6.50981e-14,0.006890314,0.0636285,1.5538600000000001e-18,0.06821367,0.0,False
h1r0,0.006888135,33.49696,0.02933043,0.03347696,0.000727297,0.116179,0.0,False
h1r1,5.375525e-08,0.0001329188,0.003567175,0.0486177,7.60606e-08,0.05049986,0.0,False
h1r2,2.222616e-17,7.308313e-14,0.01458056,0.06236347,3.2179900000000004e-18,0.09504792,0.0,False
h2r0,0.01083391,71.51593,0.1957044,0.04050901,0.000346246,0.3129232,3.886735103899583e-12,False
h2r1,0.001426077,7.767756,0.08650791,0.06486083,0.000402122,0.2246632,0.0,False
h2r2,7.548905e-06,0.02981783,0.04700484,0.084324,1.023e-05,0.1739495,0.0,False
h3r0,0.006713124,25.29719,0.02202935,0.1057437,0.00066252,0.1229227,0.0,False
h3r1,0.00273727,8.412068,0.008022991,0.1503832,9.52166e-05,0.07174468,0.0,False
h3r2,6.534919e-05,0.1679869,0.008835474,0.195207,2.41973e-06,0.07212302,0.0,False
h4r0,0.005298803,25.30945,0.06213443,0.08143194,0.000756498,0.1871044,0.0,False
h4r1,0.0003203893,0.7860532,0.004363103,0.1250618,3.38547e-05,0.05516977,0.0,False
h4r2,5.639916e-06,0.01254417,0.005079545,0.1550907,1.78792e-07,0.0581988,0.0,False
h5r0,0.004967561,21.44134,0.03908169,0.06321694,0.000406097,0.164788,0.0,False
h5r1,0.001001931,4.035538,0.01824441,0.09213708,0.00039603,0.1084654,0.0,False
h5r2,9.196638e-06,0.03052047,0.01402201,0.11887,8.15825e-06,0.09540233,0.0,False
h6r0,0.005071082,20.22808,0.03222385,0.05757786,0.000428591,0.149553,0.0,False
h6r1,0.003170595,11.98411,0.02310167,0.08414013,0.000373781,0.1264926,0.0,False
h6r2,0.0001442027,0.4366007,0.009456886,0.1083637,3.03182e-05,0.07802199,0.0,False
h7r0,0.005758458,29.15175,0.0847548,0.003172296,0.000685571,0.2463928,0.0,True
h7r1,0.003209358,15.75814,0.06489967,0.004724668,0.000582699,0.2139189,0.0,True
h7r2,0.0002190922,0.8943265,0.03572496,0.006076255,0.000297396,0.157923,0.0,True
