compartment_src,compartment_dest,corrected_flow
h0r0,h0r0,0.0
h0r0,h0r1,0.008524533378786713
h0r0,h0r2,0.0
h0r0,h1r0,0.0325424116666074
h0r0,h1r1,0.0
h0r0,h1r2,0.0
h0r0,h2r0,0.0
h0r0,h2r1,0.0
h0r0,h2r2,0.0
h0r0,h3r0,0.0
h0r0,h3r1,0.0
h0r0,h3r2,0.0
h0r0,h4r0,0.0
h0r0,h4r1,0.0
h0r0,h4r2,0.0
h0r0,h5r0,0.0
h0r0,h5r1,0.0
h0r0,h5r2,0.0
h0r0,h6r0,0.0
h0r0,h6r1,0.0
h0r0,h6r2,0.0
h0r0,h7r0,0.0
h0r0,h7r1,0.0
h0r0,h7r2,0.0
h0r1,h0r0,0.03988588681308071
h0r1,h0r1,0.0
h0r1,h0r2,-4.608367701646658e-08
h0r1,h1r0,0.0
h0r1,h1r1,0.0446765795456455
h0r1,h1r2,0.0
h0r1,h2r0,0.0
h0r1,h2r1,0.0
h0r1,h2r2,0.0
h0r1,h3r0,0.0
h0r1,h3r1,0.0
h0r1,h3r2,0.0
h0r1,h4r0,0.0
h0r1,h4r1,0.0
h0r1,h4r2,0.0
h0r1,h5r0,0.0
h0r1,h5r1,0.0
h0r1,h5r2,0.0
h0r1,h6r0,0.0
h0r1,h6r1,0.0
h0r1,h6r2,0.0
h0r1,h7r0,0.0
h0r1,h7r1,0.0
h0r1,h7r2,0.0
h0r2,h0r0,0.0
h0r2,h0r1,0.07602987226404695
h0r2,h0r2,0.0
h0r2,h1r0,0.0
h0r2,h1r1,0.0
h0r2,h1r2,0.003779139634608561
h0r2,h2r0,0.0
h0r2,h2r1,0.0
h0r2,h2r2,0.0
h0r2,h3r0,0.0
h0r2,h3r1,0.0
h0r2,h3r2,0.0
h0r2,h4r0,0.0
h0r2,h4r1,0.0
h0r2,h4r2,0.0
h0r2,h5r0,0.0
h0r2,h5r1,0.0
h0r2,h5r2,0.0
h0r2,h6r0,0.0
h0r2,h6r1,0.0
h0r2,h6r2,0.0
h0r2,h7r0,0.0
h0r2,h7r1,0.0
h0r2,h7r2,0.0
h1r0,h0r0,0.0011810182648546285
h1r0,h0r1,0.0
h1r0,h0r2,0.0
h1r0,h1r0,0.0
h1r0,h1r1,0.008528574848488646
h1r0,h1r2,0.0
h1r0,h2r0,0.03162909535105836
h1r0,h2r1,0.0001736501421080723
h1r0,h2r2,0.0
h1r0,h3r0,0.0
h1r0,h3r1,0.0
h1r0,h3r2,0.0
h1r0,h4r0,0.0
h1r0,h4r1,0.0
h1r0,h4r2,0.0
h1r0,h5r0,0.0
h1r0,h5r1,0.0
h1r0,h5r2,0.0
h1r0,h6r0,0.0
h1r0,h6r1,0.0
h1r0,h6r2,0.0
h1r0,h7r0,0.0
h1r0,h7r1,0.0
h1r0,h7r2,0.0
h1r1,h0r0,0.0
h1r1,h0r1,2.3314806792562744e-06
h1r1,h0r2,0.0
h1r1,h1r0,0.008945450618255274
h1r1,h1r1,0.0
h1r1,h1r2,0.009912028374420461
h1r1,h2r0,0.0
h1r1,h2r1,0.039954817457085894
h1r1,h2r2,0.0
h1r1,h3r0,0.0
h1r1,h3r1,0.0
h1r1,h3r2,0.0
h1r1,h4r0,0.0
h1r1,h4r1,0.0
h1r1,h4r2,0.0
h1r1,h5r0,0.0
h1r1,h5r1,0.0
h1r1,h5r2,0.0
